Fuel,Fire_Size_kW,Fuel_Flow_Time_s,Temperature_C,X_Fuel,X_O2,X_CO2,X_CO,X_H2O,X_N2
Methane,25.0,360,127.314102564103,0.140019230769231,0.0884076923076923,0.0389576923076923,0.00315769230769231,0.0922538461538462,0.645238461538461
Methane,25.0,390,122.609292929293,0.145240909090909,1.22865,0.3533,0.0272454545454545,0.0859409090909091,0.603713636363636
Methane,25.0,420,120.932962962963,0.181495833333333,0.703554166666667,0.399683333333333,0.0449583333333333,0.084075,0.573104166666667
Methane,25.0,450,117.173935185185,0.162022916666667,1.17743333333333,0.52268125,0.0467583333333333,0.0840916666666667,0.588204166666667
Methane,37.5,225,171.407777777778,0.04685,4.25101666666667,1.25373333333333,0.154366666666667,0.0742,0.571716666666667
Methane,37.5,240,175.278611111111,0.16683125,0.75973125,0.72419375,0.1048375,0.1148125,0.55300625
Methane,37.5,285,143.945777777778,0.13604,2.27808,0.86021,0.10395,0.08611,0.56258
Methane,37.5,300,159.833071895425,0.248229411764706,0.0507117647058824,0.0428823529411765,0.00664117647058824,0.110055882352941,0.552452941176471
Propane,25.0,210,205.164444444444,0.03936875,0.069075,0.0666625,0.00873125,0.11348125,0.7180625
Propane,25.0,240,200.819595959596,0.0421863636363636,0.0434409090909091,0.0774863636363636,0.0109909090909091,0.140304545454545,0.708554545454545
Propane,25.0,285,158.930888888889,0.03914,0.09632,0.05157,0.00625,0.09739,0.73387
Propane,25.0,300,169.863703703704,0.0372761904761905,0.620680952380952,0.862280952380952,0.114733333333333,0.117147619047619,0.677095238095238
Propane,16.7,255,185.855,0.0256875,0.08355,0.0635375,0.0049875,0.1009875,0.7364
Propane,16.7,270,192.554074074074,0.0329333333333333,0.0530666666666667,0.0769944444444444,0.00742777777777778,0.127244444444444,0.716977777777778
Propane,16.7,300,175.078888888889,0.0263125,1.432275,2.30801875,0.21329375,0.09919375,0.62374375
Propane,16.7,315,166.713777777778,0.03313,0.0954,0.05593,0.00437,0.08797,0.73076
Propene,25.0,210,195.858888888889,0.0205666666666667,1.21499166666667,1.54365833333333,0.152316666666667,0.0647916666666667,0.678758333333333
Propene,25.0,240,184.992777777778,0.03235,0.0702125,0.0766375,0.0078625,0.0923625,0.7283625
Propene,25.0,270,170.144166666667,0.0332875,0.0779125,0.0722,0.0072875,0.0864125,0.7298375
